"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Warsaw,  Poland","Warsaw"," Poland","Warsaw, Masovian Voivodeship, Poland","52.2319581","21.0067249","0.0","0.0","0","15"
"Nałęczów,  Poland","Nałęczów"," Poland","Nałęczów, gmina Nałęczów, Puławy County, Lublin Voivodeship, 24-150, Poland","51.2876064","22.214792","8.009","267.87","0","1"
"Amsterdam,  Poland","Amsterdam"," Poland","Amsterdam, 6d, Lwowska, Kolejarz, Kalinowszczyzna, Lublin, Lublin Voivodeship, 20-128, Poland","51.2544766","22.577906","9.17","306.685","0","1"
"Białystok,  Poland","Białystok"," Poland","Białystok, Podlaskie Voivodeship, 15-426, Poland","53.132398","23.1591679","10.541","352.556","0","1"
"Toruń,  Poland","Toruń"," Poland","Toruń, Toruń County, Kuyavian-Pomeranian Voivodeship, Poland","53.0145361","18.596583144651557","11.032","368.969","0","1"
"Poznań,  Poland","Poznań"," Poland","Poznań, Greater Poland Voivodeship, Poland","52.4006632","16.91973259178088","16.649","556.807","0","1"
"Gdańsk,  Poland","Gdańsk"," Poland","Gdańsk, Pomeranian Voivodeship, Poland","54.36119285","18.62860883362069","17.021","569.256","0","1"
"Wrocław,  Poland","Wrocław"," Poland","Wrocław, Lower Silesian Voivodeship, Poland","51.1263106","16.97819633051261","18.161","607.394","0","1"
"Lublin,  Poland","Lublin"," Poland","Lublin, Lublin Voivodeship, Poland","51.250559","22.5701022","18.332","613.107","0","2"
"Częstochowa,  Poland","Częstochowa"," Poland","Częstochowa, Silesian Voivodeship, Poland","50.8120466","19.113213","24.536","820.586","0","2"
"Miskolc,  Hungary","Miskolc"," Hungary","Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén, Northern Hungary, Great Plain and North, 3500, Hungary","48.1030643","20.7900429","27.47","918.743","0","1"
"Prague,  Czechia","Prague"," Czechia","Prague, Czechia","50.0874654","14.4212535","177.46","1034.387","1","0"
"Potsdam,  Germany","Potsdam"," Germany","Potsdam, Brandenburg, Germany","52.4009309","13.0591397","181.069","1080.56","1","0"
"Krakow,  Poland","Krakow"," Poland","Krakow, Wieliczka County, Lesser Poland Voivodeship, Poland","50.0469432","19.997153435836697","181.524","6071.03","0","12"
"Magdeburg,  Germany","Magdeburg"," Germany","Magdeburg, Saxony-Anhalt, Germany","52.1315889","11.6399609","196.388","1276.562","1","0"
"Amsterdam,  Germany","Amsterdam"," Germany","Amsterdam, 9, Olvenstedter Straße, Stadtfeld Ost, Magdeburg, Saxony-Anhalt, 39108, Germany","52.1337565","11.6190669","196.607","1279.365","1","0"
"Passau,  Germany","Passau"," Germany","Passau, Bavaria, Germany","48.5748229","13.4609744","201.544","1342.54","1","0"
"Erlangen,  Germany","Erlangen"," Germany","Erlangen, Bavaria, Germany","49.5978157","11.0038064","215.283","1518.323","1","0"
"Linköping,  Sweden","Linköping"," Sweden","Linköping, Linköpings kommun, Östergötland County, 582 24, Sweden","58.4098135","15.6245252","216.374","1532.287","1","0"
