"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Lisbon,  Portugal","Lisbon"," Portugal","Lisbon, Grande Lisboa, Área Metropolitana de Lisboa, Portugal","38.7077507","-9.1365919","0.0","0.0","0","5"
"Caparica,  Portugal","Caparica"," Portugal","Caparica, Caparica e Trafaria, Almada, Setúbal, Portugal","38.653741049999994","-9.208969409268294","0.52","17.383","0","1"
"Dagorda,  Portugal","Dagorda"," Portugal","Dagorda, Vermelha, Cadaval, Lisbon, 2550-500, Portugal","39.2771655","-9.0833324","3.796","126.966","0","1"
"Braga,  Portugal","Braga"," Portugal","Braga, Portugal","41.5510583","-8.4280045","19.246","643.693","0","1"
"Santiago de Compostela,  Spain","Santiago de Compostela"," Spain","Santiago de Compostela, Santiago, A Coruña, Galicia, 15705, Spain","42.8804219","-8.5458608","27.905","933.268","0","1"
"Leganés,  Spain","Leganés"," Spain","Leganés, Área metropolitana de Madrid y Corredor del Henares, Community of Madrid, 28912, Spain","40.3281942","-3.76527","29.578","989.235","0","1"
"Porto,  Portugal","Porto"," Portugal","Porto, North, Portugal","41.1494512","-8.6107884","32.912","1100.721","0","2"
"Santander,  Spain","Santander"," Spain","Santander, Cantabria, Spain","43.4620412","-3.8099719","204.726","1383.243","1","0"
"Valencia,  Spain","Valencia"," Spain","Valencia, Comarca de València, Valencia, Valencian Community, Spain","39.4697065","-0.3763353","215.491","1520.981","1","0"
"Bordeaux,  France","Bordeaux"," France","Bordeaux, Gironde, New Aquitaine, Metropolitan France, France","44.841225","-0.5800364","250.566","1966.288","1","0"
"Toulouse,  France","Toulouse"," France","Toulouse, Haute-Garonne, Occitania, Metropolitan France, France","43.6044622","1.4442469","259.719","2077.15","1","0"
"Bruz,  France","Bruz"," France","Bruz, Rennes, Ille-et-Vilaine, Brittany, Metropolitan France, 35170, France","48.0245814","-1.7471629","285.474","2389.099","1","0"
"Gif-sur-Yvette,  France","Gif-sur-Yvette"," France","Gif-sur-Yvette, Palaiseau, Essonne, Ile-de-France, Metropolitan France, 91190, France","48.7018823","2.134529","324.461","2861.319","1","0"
"Guyancourt,  France","Guyancourt"," France","Guyancourt, Versailles, Yvelines, Ile-de-France, Metropolitan France, 78280, France","48.7709414","2.0706084","324.86","2866.146","1","0"
"Viroflay,  France","Viroflay"," France","Viroflay, Versailles, Yvelines, Ile-de-France, Metropolitan France, 78220, France","48.7995951","2.1730571","326.089","2881.038","1","0"
"Rueil-Malmaison,  France","Rueil-Malmaison"," France","Rueil-Malmaison, Arrondissement of Nanterre, Hauts-de-Seine, Ile-de-France, Metropolitan France, 92500, France","48.87778","2.1802832","327.199","2894.487","1","0"
"Paris,  France","Paris"," France","Paris, Ile-de-France, Metropolitan France, France","48.8566969","2.3514616","328.33","2908.178","1","0"
