City,Country,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5,6A,6B,7A,7B,8A,8B,9A,9B,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021
Prague,Czechia,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,1,,
Göteborg,Sweden,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,1,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
-,-,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,1,1,1,,,1,1,,,,1,1,1,1
Milan,Italy,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,
-,-,1,1,1,1,,,1,,,1,,,,1,,1,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BORDEAUX (33000),France,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,1,
-,-,,,,,,,,,,,,,,1,,1,1,1,,1,,,,,,1,,,,,1,,,,,1,,,,1,1,1,1
-,-,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,,1
Stirling,UK,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,,1,1
Argonne,United States,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,1,,1,1,1,1,,1,1
Lyon,France,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Ames,United States,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,,1,1,
Bhagalpur,India,,,,1,,,,,,1,,,,1,,1,,1,,,,,,,1,,1,,,,,,1,,,,,,1,1,1,,1
Szeged,Hungary,,,,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,,,
Pisa,Italy,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,
Boulder,United States,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Berlin,Germany,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,1,,,,,,1,,1,1,1
Murrieta,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
BOSTON,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,
-,-,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,1,1,,,1,1,1
Barcelona,Spain,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Boulogne-Billancourt,France,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
Oak Ridge,United States,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Heidelberg,Germany,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,,1,1,1,1
Seoul,South Korea,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Torino,Italy,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,,,
San Francisco,United States,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Villetaneuse,France,1,,,1,,,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1
Berlin,Germany,1,,1,1,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,,1,1,1,,,,1,1,1,,1
Toulouse,France,1,,,,,,,1,1,,1,,,1,,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
Leganes,Spain,,1,,,,,,,,,,,,1,,1,1,1,,1,1,1,1,1,,1,1,,,,,,,,,,,,1,1,1,,
La Plata,Argentina,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
SALT LAKE CITY,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,1
x,Turkey,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,1
-,-,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,,,,,,1,1,
Talence,France,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Grenoble Cedex,France,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,1,1,,,1,,,,,1,,,,,1,1,1,1
Montevideo,Uruguay,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,,1,,,,,,,,,,,,,1,1,,
Gif-sur-Yvette CEDEX,France,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,
Ivrea,Italy,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,
Indianapolis IN 46202,United States,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,1,,1
Porto,Portugal,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,1,,,1,,1,,,1,,1
Barcelona,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,1
Città di Castello,Italy,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
Padova,Italy,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,1
Santiago de Compostela,Spain,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,1,1,
Karlsruhe,Germany,,,,,,,,,,,,,,1,,1,,1,,,,,1,1,1,1,1,1,,,,,1,,,,,,,1,1,1,1
