City,Country
Orléans,France
Glasgow,UK
Pittsburgh,United States
Boulogne-Billancourt,France
Lisbon,Portugal
Lisbon,Portugal
Porto,Portugal
Glasgow,UK
Torino,Italy
Austin,United States
Barcelona,Spain
Bengaluru,India
Seattle,United States
Walla Walla,United States
Grenoble,France
Paris,France
Berlin,Germany
Livermore,United States
Rennes,France
Rennes,France
Göteborg,Sweden
Częstochowa,Poland
Trondheim,Norway
Zagreb,Croatia
Thuwal,Saudi Arabia
Orléans,France
Barcelona,Spain
Barcelona,Spain
Napoli,Italy
Urbana,United States
Oak Ridge,United States
Porto,Portugal
Talence,France
South Bend,United States
Talence,France
Talence,France
Berlin,Germany
Valencia,Spain
Dagorda,Portugal
Padova,Italy
Berlin,Germany
Santiago de Compostela,Spain
Prague,Czechia
Bordeaux,France
Lemont,United States
Beijing,China
Lyon,France
Heraklion,Greece
Seoul,South Korea
Heidelberg,Germany
Darmstadt,Germany
Davis,United States
Beijing,China
Montevideo,Uruguay
Villetaneuse,France
Boulogne-Billancourt,France
Suwon,South Korea
Lisbon,Portugal
Caparica,Portugal
Salt Lake City,United States
Innsbruck,Austria
Città di Castello,Italy
Klagenfurt,Austria
Szeged,Hungary
Barcelona,Spain
Karlsruhe,Germany
Murrieta,United States
Pisa,Italy
Portsmouth,UK
Seoul,South Korea
Los Alamos,United States
Ivrea,Italy
Kaiserslautern,Germany
Gif-sur-Yvette,France
Athy,Ireland
Boston,United States
Urbana,United States
Delft,Netherlands
Bhagalpur,India
Amsterdam,Netherlands
Toulouse,France
Braga,Portugal
Grenoble,France
Milan,Italy
Warszawa,Poland
Czestochowa,Poland
Lisbon,Portugal
Eggenstein-Leopoldshafen,Germany
London,UK
Istanbul,Turkey
Heidelberg,Germany
Szczecin,Poland
Auckland,New Zealand
Suwon,South Korea
Santander,Spain
Klagenfurt,Austria
Rio de Janeiro,Brazil
Berlin,Germany
Ames,United States
San Francisco,United States
Istanbul,Turkey
Salt Lake City,United States
Istanbul,Turkey
Hagen,Germany
Rueil-Malmaison,France
Chicago,United States
Krakow,Poland
Warszawa,Poland
Bruz,France
Catanzaro,Italy
Indianapolis,United States
Grenoble,France
La Plata,Argentina
Baton Rouge,United States
Boulder,United States
Albuquerque,United States
London,UK
Oak Ridge,United States
Argonne,United States
Hong Kong,Hong Kong
Oak Ridge,United States
Göteborg,Sweden
Knoxville,United States
Albuquerque,United States
Lisbon,Portugal
Mineola,United States
Viroflay,France
Zurich,Switzerland
Heraklion,Greece
Leganes,Spain
Notre Dame,United States
Oak Ridge,United States
Guyancourt,France
Stirling,UK
Argenteuil,France
Lyon,France
Barcelona,Spain
